1,ITE00001,18,96,¿Quieres el bien? Haz el bien y todo vendra
2,DTE00009,11,53,Habla menos y observa mas
3,BTE00003,45,28,Toma este dia para sonreir
4,CTE00003,36,40,No porque el cielo este nublado las estrellas murieron
5,ITE00002,11,11,Quierete es gratis
6,DTE00009,99,53,Que tu fe sea mayor que tus problemas
7,CTE00003,48,17,Se feliz no aceptes menos
8,ITE00002,41,41,Es bueno ser bueno para alguien
9,DTE00009,16,29,Sin sacrificio no hay victoria
10,CTE00003,12,55,He estado viendo las noticas sobre la tramaX
11,ITE00002,43,65,Ha salido la tramaX en la tele
12,DTE00009,48,99,Las cosas buenas toman tiempo
13,BTE00003,96,56,Llora litros sonrie a mares
14,ITE00001,75,94,El cuerpo logra lo que la mente cree
15,CTE00003,88,72,La gente suena toda su vida y solo despierta al final
16,ITE00002,50,76,La sonrisa es la mejor respuesta para una mirada
17,BTE00003,48,35,No me gusta lo que esta pasando con la tramaX
18,DTE00009,58,76,La alegria es contagiosa Pasalo
19,ITE00002,13,2,La esperanza es lo ultimo que se pierde
20,CTE00003,27,37,La energia que desprendes es todo lo que tu eres
21,ITE00001,31,97,La tramaX va a traer problemas al gobierno
22,ITE00002,91,1,Uno es lo que elige ser
23,ITE00002,52,20,Se la razon de que alguien sonria hoy
24,ITE00001,55,73,En la tramaX seguro que esta involucrado el gobierno
25,CTE00003,84,87,Todo lo que necesitas es amor
26,CTE00003,30,30,La vida no es esperar que pase la tormenta Es aprender a bailar bajo la lluvia
27,BTE00003,10,15,El sabio crea los demas copian
28,ITE00002,100,85,Los que tiene prisa tropiezan
29,ITE00001,14,40,Las sonrisas timidas me encantan
30,CTE00003,87,19,No dejes que el miedo te impida ser feliz
31,DTE00009,47,66,Suena nunca te rindas
32,ITE00001,63,15,Vivir es dibujar sin goma
33,BTE00003,64,99,Deja que lo que tenga que ser sea
34,CTE00003,87,95,Eso de la tramaX va a acabar muy mal
35,ITE00002,56,23,Valora a aquellos que te dan su amor
36,DTE00009,72,62,Difunde tu amor a tu alrededor
37,ITE00002,31,36,Cuando todo parece ir mal pasan cosas buenas que no habria ocurrido si todo hubiera funcionado
38,ITE00001,80,24,Cultiva tus amistades
39,CTE00003,4,25,Tu hogar esta donde se encuentre tu corazon
40,CTE00003,48,38,Hacer felices a los demas es ser feliz sin saber
41,ITE00002,85,8,Disfruta de las pequeaas cosas
42,ITE00001,63,70,La honestidad nunca pasa de moda
43,ITE00002,58,2,Atrevete a ser simple
44,BTE00003,28,87,El amor es la respuesta para todo
45,CTE00003,2,20,Cultiva el bien
46,BTE00003,40,43,Olvidar todo lo que no funciono ayer hoy es un nuevo dia una nueva oportunidad de exito y de ser feliz
47,ITE00001,78,14,Sonrie Nos hicieron para esto
48,DTE00009,84,48,Nada es pequeoo cuando el amor es grande
49,CTE00003,21,57,Lo que est‡n liando con la tramaX
50,ITE00002,3,47,Lo mejor de la vida es gratis
51,CTE00003,69,19,Elimina de tu vida lo que no te hace feliz
52,ITE00001,34,32,Las personas agradables atraen a grandes personas
